trial_id,mean_daily_ret,sharpe_ann,n_trades,n_fills,final_eq_BTC,final_eq_ETH,final_eq_SOL
AD|e=E1|f=0|sp=-|k=0|tp=MID|sl=-|15m,-1.309268346661914e-05,-0.17696289432530526,10883,10883,0.9734702731336561,0.9302973464599431,1.00936848946881
AD|e=E1|f=0|sp=-|k=0|tp=MID|sl=6|15m,-5.462287668562387e-05,-0.710131723886737,12294,12294,0.8888980838516247,0.848040318168761,0.9370785560812116
AD|e=E1|f=0|sp=-|k=0|tp=MID|sl=10|15m,-2.3939055245619374e-05,-0.3164302076077693,11394,11394,0.9401956023558377,0.8943355643694926,1.017280548371303
AD|e=E1|f=0|sp=-|k=0|tp=A0.5|sl=-|15m,6.077042668996572e-06,0.07391659177174478,565,565,1.0313573817712038,1.0035214869555902,0.9963961850449615
AD|e=E1|f=0|sp=-|k=0|tp=A0.5|sl=6|15m,-7.915770816972974e-05,-1.0562845701457453,13317,13317,0.7545612974274832,0.7691337089644764,1.0448407978971714
AD|e=E1|f=0|sp=-|k=0|tp=A0.5|sl=10|15m,-5.5329523302263405e-05,-0.6256950926412223,10758,10758,0.8275895620176845,0.8388487848152504,1.0116100208206817
AD|e=E1|f=0|sp=-|k=0|tp=A1.0|sl=-|15m,3.6746336542892603e-06,0.04436810932423236,306,306,1.0180964255622784,1.0123658345168374,0.9855671328067462
AD|e=E1|f=0|sp=-|k=0|tp=A1.0|sl=6|15m,-6.091114772093167e-05,-0.7110913175036072,10934,10934,0.7952446325853287,0.8025104994387638,1.0570673400406454
AD|e=E1|f=0|sp=-|k=0|tp=A1.0|sl=10|15m,-2.2378917121097424e-05,-0.2322345792245806,8326,8326,0.896202114587887,0.9407253421191162,1.0163794660415768
AD|e=E1|f=0|sp=-|k=0|tp=A2.0|sl=-|15m,2.0114398904296718e-07,0.0024523811703589817,159,159,1.0192877685449255,1.0086160814047558,0.9671343100208004
AD|e=E1|f=0|sp=-|k=0|tp=A2.0|sl=6|15m,-2.986178883439233e-05,-0.28824273552383695,8050,8050,0.8735016805830863,0.8718723341557059,1.0652068169483662
AD|e=E1|f=0|sp=-|k=0|tp=A2.0|sl=10|15m,1.941116825245367e-05,0.17324873594470952,5591,5591,1.0102971851099765,0.9438603536286465,1.1532478076102084
AD|e=E1|f=0|sp=0.5|k=1|tp=MID|sl=-|15m,1.9513106100988287e-05,0.15029688260535629,10882,17540,1.0056524041554358,0.9035250382881358,1.2065945344586466
AD|e=E1|f=0|sp=0.5|k=1|tp=MID|sl=6|15m,-4.37957165909834e-05,-0.3283603253617393,11986,19267,0.8781094582007263,0.7594991380161449,1.1117883342388593
AD|e=E1|f=0|sp=0.5|k=1|tp=MID|sl=10|15m,-2.5527770499343274e-05,-0.1888211881473633,11290,18182,0.8920043996978896,0.8172587654297568,1.1324927100230535
AD|e=E1|f=0|sp=0.5|k=1|tp=A0.5|sl=-|15m,1.239111915883482e-05,0.07308182789992522,780,1120,1.063576416176374,1.0020633126431253,0.9760051768737191
AD|e=E1|f=0|sp=0.5|k=1|tp=A0.5|sl=6|15m,-0.00010157978029057744,-0.8468608328512396,13637,19536,0.7308836192482608,0.6103273058904553,1.1681465440346464
AD|e=E1|f=0|sp=0.5|k=1|tp=A0.5|sl=10|15m,-0.00012322623542754946,-0.8119022114541766,11616,16728,0.7320958944999493,0.6498640329378719,0.9382940962161387
AD|e=E1|f=0|sp=0.5|k=1|tp=A1.0|sl=-|15m,1.9713553460942267e-05,0.11584209123760826,502,777,1.0879618616842561,1.0201028899714744,0.980398663313431
AD|e=E1|f=0|sp=0.5|k=1|tp=A1.0|sl=6|15m,-7.550217537719003e-05,-0.5174131041289446,11116,17257,0.7250670201331066,0.6906970952676854,1.2036412859155912
AD|e=E1|f=0|sp=0.5|k=1|tp=A1.0|sl=10|15m,-9.181969359392879e-05,-0.5226861326466774,8885,13871,0.7003476456032938,0.7564012188579919,1.0065039302990468
AD|e=E1|f=0|sp=0.5|k=1|tp=A2.0|sl=-|15m,2.335961732680966e-06,0.013787723083520659,189,318,1.0418811176557814,1.0019721274415205,0.9353175070360625
AD|e=E1|f=0|sp=0.5|k=1|tp=A2.0|sl=6|15m,-1.387217904579004e-05,-0.07782719547558621,8247,13865,0.834716831062584,0.8593100338783274,1.2069606745713557
AD|e=E1|f=0|sp=0.5|k=1|tp=A2.0|sl=10|15m,-3.3020670756594594e-05,-0.15848229170400224,5965,10068,0.8319451111367898,0.8259959975635325,1.0915676126883909
AD|e=E1|f=0|sp=0.5|k=2|tp=MID|sl=-|15m,3.822627951553032e-05,0.222515680654825,10882,21696,1.0250631464575375,0.87905241148328,1.3390861640861746
AD|e=E1|f=0|sp=0.5|k=2|tp=MID|sl=6|15m,-2.2466303234873712e-05,-0.13337849979126584,11768,23266,0.924937841825897,0.7657091538024041,1.177578964537741
AD|e=E1|f=0|sp=0.5|k=2|tp=MID|sl=10|15m,-3.0394724222988347e-05,-0.16884654786511263,11197,22274,0.882329252875214,0.7811700750459444,1.1280387399877623
AD|e=E1|f=0|sp=0.5|k=2|tp=A0.5|sl=-|15m,1.2211107380384087e-05,0.04678179032681886,886,1479,1.0716119007359997,0.9835805201089611,0.9304610318361709
AD|e=E1|f=0|sp=0.5|k=2|tp=A0.5|sl=6|15m,-0.0001032363505565349,-0.6325829031123353,13772,22931,0.7575196360902697,0.580560633566521,1.1442732583060788
AD|e=E1|f=0|sp=0.5|k=2|tp=A0.5|sl=10|15m,-0.0001267989176686306,-0.6340014863015585,11958,20109,0.7552213995045869,0.6536724733736226,0.8474756709727165
AD|e=E1|f=0|sp=0.5|k=2|tp=A1.0|sl=-|15m,3.443227045417879e-05,0.13077114587971764,595,1125,1.1112348101990204,1.0473366913550146,0.9690204179332341
AD|e=E1|f=0|sp=0.5|k=2|tp=A1.0|sl=6|15m,-4.6353837736923886e-05,-0.23758674881581468,10984,20828,0.7884694661182337,0.6365671191184745,1.3908843389028283
AD|e=E1|f=0|sp=0.5|k=2|tp=A1.0|sl=10|15m,-9.755490014284478e-05,-0.40996557816665236,9059,17353,0.7061419850869392,0.78786842430433,0.8738767494937699
AD|e=E1|f=0|sp=0.5|k=2|tp=A2.0|sl=-|15m,1.617284499014638e-05,0.061054106555910495,246,531,1.0802974512010988,0.981453793082388,0.9449986315005862
AD|e=E1|f=0|sp=0.5|k=2|tp=A2.0|sl=6|15m,-6.649021923644842e-05,-0.27052497442927803,8071,17444,0.7516952167013988,0.6732337349341194,1.1830439853049863
AD|e=E1|f=0|sp=0.5|k=2|tp=A2.0|sl=10|15m,-9.175155672478743e-05,-0.31416556621494646,6120,13354,0.7594721787271633,0.8271778787149782,0.7693402175501544
AD|e=E1|f=0|sp=0.5|k=3|tp=MID|sl=-|15m,5.787474610503862e-05,0.2842800303571536,10880,24279,1.0401082359033298,0.8822008850036355,1.4563717412481798
AD|e=E1|f=0|sp=0.5|k=3|tp=MID|sl=6|15m,-2.171451895845361e-05,-0.11059069137121437,11625,25567,0.9304457518266758,0.7377779424083971,1.1943233517868388
AD|e=E1|f=0|sp=0.5|k=3|tp=MID|sl=10|15m,-2.3246961158724023e-05,-0.11088362726441978,11130,24752,0.8813349767576685,0.7553133758724309,1.1854090121739103
