trial_id,tf,entry,filt,spacing,kmax,tp,stop,conv,cum,ann,sharpe,mdd,calmar,req_cum,is_cum,is_sharpe,is_mdd,oos_cum,oos_sharpe,oos_mdd,n_trades,n_wins,n_B,n_A,n_Ap,heat_blocked,time_viol,win_rate
CT|e=E1|f=0|sp=-|k=0|tp=MID|sl=-|cv=flat|15m,15m,E1,0,,0,MID,,flat,-0.3239534747928414,-0.06714126594013314,-2.5665203123957077,-0.3265957560445606,-0.20557911331515408,-0.2486224698367796,-0.2097336226024179,-2.160400597366976,-0.21576184830276746,-0.14453335667216471,-3.582469548428079,-0.14803911217365084,10883,6565,5871,2879,2133,0,0,0.6032344022787834
CT|e=E1|f=0|sp=-|k=0|tp=MID|sl=6|cv=flat|15m,15m,E1,0,,0,MID,6.0,flat,-0.40782729111665295,-0.08882258118029873,-3.2374483396785005,-0.41014187270822877,-0.21656550352635248,-0.26250419427760774,-0.2803567472972175,-2.851458204837282,-0.284034251746601,-0.17713018685396176,-4.197744775991142,-0.1805025188040621,12294,7312,6835,3188,2271,0,0,0.594761672360501
CT|e=E1|f=0|sp=-|k=0|tp=MID|sl=10|cv=flat|15m,15m,E1,0,,0,MID,10.0,flat,-0.3500554609791654,-0.07363938522431535,-2.7354479492370736,-0.3525958166415505,-0.2088492879062637,-0.25273002960638746,-0.2344562782418831,-2.360973445857049,-0.23878318139644272,-0.15100271800518583,-3.693087059097313,-0.1544820821083268,11394,6872,6257,2970,2167,0,0,0.6031244514656837
CT|e=E1|f=0|sp=-|k=0|tp=A0.5|sl=-|cv=flat|15m,15m,E1,0,,0,A0.5,,flat,-0.008707467483779263,-0.0015513943846054978,-0.03681105461487393,-0.06879335029820399,-0.022551516649218936,-0.05076113716538888,0.006338900199652109,0.0689273750978876,-0.06879335029820399,-0.014951591040002654,-0.27102574875277347,-0.05059762773689447,565,513,207,192,166,0,0,0.9079646017699115
CT|e=E1|f=0|sp=-|k=0|tp=A0.5|sl=6|cv=flat|15m,15m,E1,0,,0,A0.5,6.0,flat,-0.4557347303423742,-0.10236727837632975,-3.8423441406637964,-0.4573187260922582,-0.22384230632987126,-0.27172695767382615,-0.3316656545024417,-3.4309538139348055,-0.33523629212156336,-0.18563923382923997,-5.081324932417428,-0.18823629161623068,13317,10273,7554,3348,2415,0,0,0.7714199894871218
CT|e=E1|f=0|sp=-|k=0|tp=A0.5|sl=10|cv=flat|15m,15m,E1,0,,0,A0.5,10.0,flat,-0.3780614679777996,-0.0808547316185605,-2.579944571681287,-0.38122018696469173,-0.21209456997105242,-0.2567960867212645,-0.2861800368313555,-2.4449411244850205,-0.29168424065265064,-0.12871793433540546,-3.034539185096766,-0.13518729961757658,10758,8781,5793,2784,2181,0,0,0.8162297824874511
CT|e=E1|f=0|sp=-|k=0|tp=A1.0|sl=-|cv=flat|15m,15m,E1,0,,0,A1.0,,flat,-0.005104515214802707,-0.0009081085925082277,-0.014975569393821934,-0.0695885446065897,-0.013049685083114014,-0.0382801910732492,0.011716456633755756,0.11391782215676399,-0.0695885446065897,-0.016626172025041464,-0.3025195786640033,-0.050390328734839285,306,303,109,101,96,0,0,0.9901960784313726
CT|e=E1|f=0|sp=-|k=0|tp=A1.0|sl=6|cv=flat|15m,15m,E1,0,,0,A1.0,6.0,flat,-0.38866667413591593,-0.08365688598299958,-2.725125552770804,-0.39258757604574634,-0.21309101736131214,-0.25817846136308364,-0.25973867700623954,-2.2459279017530833,-0.2623140517521736,-0.17416551847969997,-4.141854785662765,-0.17919562801950706,10934,8503,6148,2788,1998,0,0,0.7776659959758552
CT|e=E1|f=0|sp=-|k=0|tp=A1.0|sl=10|cv=flat|15m,15m,E1,0,,0,A1.0,10.0,flat,-0.2787462131907158,-0.05635966202548415,-1.6215147463982822,-0.28680079046911766,-0.19651152959968177,-0.23782776320662513,-0.18237522083286994,-1.3510341945402495,-0.19067373568131296,-0.11786701530255994,-2.4024932492164646,-0.1238988231514212,8326,7060,4424,2181,1721,0,0,0.8479461926495316
CT|e=E1|f=0|sp=-|k=0|tp=A2.0|sl=-|cv=flat|15m,15m,E1,0,,0,A2.0,,flat,-0.007310114267703449,-0.0013016773206878662,-0.02857323612658898,-0.07033727250989863,-0.018506224001004302,-0.044421693021324704,0.01593509282974459,0.15033447351306156,-0.07033727250989863,-0.022880602571471287,-0.4294512325237725,-0.050685099038378256,159,156,58,46,55,0,0,0.9811320754716981
