trial_id,tf,entry,filt,spacing,kmax,tp,risk,stop,size,hours,cum,ann,sharpe,mdd,calmar,ulcer,worst_day,dd_days,ruin,n_trades,n_wins,n_stop,n_time,n_dd_block,worst_trade,exposure,time_viol,win_rate
RK|e=E1|f=0|sp=-|k=0|tp=MID|rk=base|15m,15m,E1,0,,0,MID,base,,1.0,,-0.3239534747928414,-0.06714126594013314,-2.566520312395709,-0.3265957560445606,-0.20557911331515408,0.18960015758438284,-0.017800742694140965,0.8151750972762646,0.0,10883,6565,0,0,0,-0.020417723007580903,1.069937272460679,0,0.6032344022787834
RK|e=E1|f=0|sp=-|k=0|tp=A0.5|rk=base|15m,15m,E1,0,,0,A0.5,base,,1.0,,-0.008707467483779263,-0.0015513943846054978,-0.036811054614873294,-0.06879335029820399,-0.022551516649218936,0.03937092403594009,-0.009492088108819852,0.2733463035019455,0.0,565,513,0,0,0,-0.05451587018672311,3.854925578101866,0,0.9079646017699115
RK|e=E1|f=0|sp=-|k=0|tp=A1.0|rk=base|15m,15m,E1,0,,0,A1.0,base,,1.0,,-0.005104515214802707,-0.0009081085925082277,-0.014975569393821758,-0.0695885446065897,-0.013049685083114014,0.03985981973139086,-0.009492088108819777,0.2782101167315175,0.0,306,303,0,0,0,-0.05417773599419823,3.906924347869624,0,0.9901960784313726
RK|e=E1|f=0|sp=-|k=0|tp=A2.0|rk=base|15m,15m,E1,0,,0,A2.0,base,,1.0,,-0.007310114267703449,-0.0013016773206878662,-0.0285732361265895,-0.07033727250989863,-0.018506224001004302,0.040897381574657894,-0.009154299851853379,0.2830739299610895,0.0,159,156,0,0,0,-0.05427654046874863,3.944482193818798,0,0.9811320754716981
RK|e=E1|f=0|sp=0.5|k=1|tp=MID|rk=base|15m,15m,E1,0,0.5,1,MID,base,,1.0,,-0.42341672875810776,-0.09312791675132692,-2.0360738015935245,-0.4302444130237878,-0.21645351788955822,0.24585122857006972,-0.017210805677592256,0.8234435797665369,0.0,10882,7468,0,0,0,-0.03756785411358458,1.0697298495826508,0,0.6862709060834405
RK|e=E1|f=0|sp=0.5|k=1|tp=A0.5|rk=base|15m,15m,E1,0,0.5,1,A0.5,base,,1.0,,-0.022204530621952934,-0.003978440561125396,-0.03350988226892371,-0.13259605794578166,-0.030004214474853953,0.07534077664606544,-0.019411027054180074,0.5933852140077821,0.0,780,701,0,0,0,-0.11033225971344018,3.8026621653517965,0,0.8987179487179487
RK|e=E1|f=0|sp=0.5|k=1|tp=A1.0|rk=base|15m,15m,E1,0,0.5,1,A1.0,base,,1.0,,0.003923471081835217,0.0006954094550204459,0.042237807967079925,-0.1371686207523014,0.005069741542974422,0.07812053177521096,-0.01941102705418,0.6065175097276264,0.0,502,498,0,0,0,-0.11320598239450608,3.8608478588952226,0,0.9920318725099602
RK|e=E1|f=0|sp=0.5|k=1|tp=A2.0|rk=base|15m,15m,E1,0,0.5,1,A2.0,base,,1.0,,-0.016324025845284473,-0.0029176404056483474,-0.016353970547178943,-0.14134567150430744,-0.02064188011275205,0.08207535727738637,-0.018752210744320947,0.6429961089494164,0.0,189,186,0,0,0,-0.1094770887634138,3.9345688107516574,0,0.9841269841269841
RK|e=E1|f=0|sp=0.5|k=2|tp=MID|rk=base|15m,15m,E1,0,0.5,2,MID,base,,1.0,,-0.48086145310724726,-0.10986787957018063,-1.8151033044204317,-0.49835703702800926,-0.22046017494884035,0.2838940014189418,-0.024442964327128964,0.8409533073929961,0.0,10882,8002,0,0,0,-0.05318967169905648,1.0697298495826508,0,0.7353427678735527
RK|e=E1|f=0|sp=0.5|k=2|tp=A0.5|rk=base|15m,15m,E1,0,0.5,2,A0.5,base,,1.0,,-0.0482861417248831,-0.00874758691823252,-0.04455287614322432,-0.20270947963809738,-0.04315331939014307,0.11555079232756876,-0.029799150380729184,0.7295719844357976,0.0,886,785,0,0,0,-0.1610106386363626,3.7720422570470133,0,0.8860045146726863
