rule_id,family,params,exit_code,direction,tf,sharpe_ann,sharpe_daily,n_trades,cum_return,mdd,cost_usd,funding_usd,halt_days,is_sharpe_ann,oos_sharpe_ann
"T-A|ma=SMA,fast=5,slow=20|X1|L|1h",T-A,"ma=SMA,fast=5,slow=20",X1,L,1h,-0.2582667727485339,-0.013518300726675292,7962,-0.6271133601105361,0.6920476269723813,13083.192069699227,-1179.7131101458342,28,-0.01291034646348124,-0.765431670706337
"T-A|ma=SMA,fast=5,slow=20|X1|S|1h",T-A,"ma=SMA,fast=5,slow=20",X1,S,1h,-0.7024282139362681,-0.03676677310765593,7976,-0.8445400684211065,0.8985725212583959,12980.904572002417,615.1377134129831,19,-0.6709271363724686,-0.7741297716120102
"T-A|ma=SMA,fast=5,slow=20|X1|LS|1h",T-A,"ma=SMA,fast=5,slow=20",X1,LS,1h,-0.2565439488725472,-0.01342812400356519,7978,-0.5697354206009515,0.8035546252927883,24719.344280742254,-465.49273723990035,17,0.28223594057893003,-1.352411293900407
"T-A|ma=SMA,fast=5,slow=20|X2|L|1h",T-A,"ma=SMA,fast=5,slow=20",X2,L,1h,-0.43736961478421627,-0.022892971939212522,6838,-0.9940866523769717,0.9963414171847919,14721.665794284674,-1202.6023921297583,287,0.02071665675281931,-1.3423566496695607
"T-A|ma=SMA,fast=5,slow=20|X2|S|1h",T-A,"ma=SMA,fast=5,slow=20",X2,S,1h,-0.325892607025809,-0.01705799867126,6944,-0.9917782828851996,0.9981534755678697,74185.6938459412,3621.1780985419855,273,0.006248802433484356,-0.9805508305876335
"T-A|ma=SMA,fast=5,slow=20|X2|LS|1h",T-A,"ma=SMA,fast=5,slow=20",X2,LS,1h,-0.43273420932802786,-0.0226503437285451,7886,-0.9933659273218861,0.9988602000378156,48718.99778735531,338.484341852219,379,0.023774428688679124,-1.2964101294627441
"T-A|ma=SMA,fast=5,slow=20|X3|L|1h",T-A,"ma=SMA,fast=5,slow=20",X3,L,1h,-0.23588596994784122,-0.012346835967409632,6974,-0.9164713309699851,0.9517870735560622,22660.029459408906,-2189.0041330044573,121,0.17430624355703822,-1.0298421673725786
"T-A|ma=SMA,fast=5,slow=20|X3|S|1h",T-A,"ma=SMA,fast=5,slow=20",X3,S,1h,-0.4906631236475432,-0.025682481684996414,7042,-0.9697283871590593,0.988469801719988,39892.087033899035,2166.38350717888,120,-0.1290711879297833,-1.2011009375690096
"T-A|ma=SMA,fast=5,slow=20|X3|LS|1h",T-A,"ma=SMA,fast=5,slow=20",X3,LS,1h,-0.7149690879209463,-0.03742319245303291,7802,-0.9764968620470096,0.9847314672425483,25311.188736124976,-60.708896158169274,143,-0.29073105356271234,-1.4436109893480407
"T-A|ma=SMA,fast=5,slow=50|X1|L|1h",T-A,"ma=SMA,fast=5,slow=50",X1,L,1h,-0.07686163622243604,-0.004023121912824953,4490,-0.4416428645129401,0.6539843259675492,8210.756938416169,-1475.881372234603,25,0.2773736248973192,-0.8194368005982927
"T-A|ma=SMA,fast=5,slow=50|X1|S|1h",T-A,"ma=SMA,fast=5,slow=50",X1,S,1h,-0.3604728545193207,-0.01886801154997943,4496,-0.6830991222124427,0.8240698019001724,9212.152876478125,584.8011065076946,28,-0.25066620723072147,-0.5819255204402087
"T-A|ma=SMA,fast=5,slow=50|X1|LS|1h",T-A,"ma=SMA,fast=5,slow=50",X1,LS,1h,-0.4832655285667003,-0.025295273861501526,4500,-0.69735998598032,0.8111940922092166,9701.147092061723,20.49775205110421,21,-0.06008923381310066,-1.3537493732095212
"T-A|ma=SMA,fast=5,slow=50|X2|L|1h",T-A,"ma=SMA,fast=5,slow=50",X2,L,1h,-0.1665094814883247,-0.00871550459490815,3982,-0.9776916308093849,0.9899093720960339,4123.0961401865425,-454.65443436867,265,-0.2950013340554688,0.07307605749572166
"T-A|ma=SMA,fast=5,slow=50|X2|S|1h",T-A,"ma=SMA,fast=5,slow=50",X2,S,1h,-0.230951213963616,-0.012088539033980763,3902,-0.9819860445671188,0.9937232611452821,24766.27805798462,1585.267939261913,261,0.017370862170026872,-0.7275128814072132
"T-A|ma=SMA,fast=5,slow=50|X2|LS|1h",T-A,"ma=SMA,fast=5,slow=50",X2,LS,1h,0.09093816780502492,0.004759921250567323,4636,-0.9091321159681491,0.9542125766317531,26409.644504071028,7.461405871433323,358,0.13456922358864487,0.011647241227167196
"T-A|ma=SMA,fast=5,slow=50|X3|L|1h",T-A,"ma=SMA,fast=5,slow=50",X3,L,1h,0.10186123744195351,0.005331660846176045,3990,-0.7078303527418061,0.9202287185825797,8218.032528889733,-1295.318787944979,131,-0.013929256596985733,0.30435075118629396
"T-A|ma=SMA,fast=5,slow=50|X3|S|1h",T-A,"ma=SMA,fast=5,slow=50",X3,S,1h,-0.03445072003596656,-0.0018032331017282888,3996,-0.8161699659694199,0.9310657502828256,19432.535908833805,1488.6232857245245,131,0.017801700335072012,-0.13107046517264934
"T-A|ma=SMA,fast=5,slow=50|X3|LS|1h",T-A,"ma=SMA,fast=5,slow=50",X3,LS,1h,-0.07452853087928142,-0.003901001597771935,4446,-0.810292821918681,0.8382488890071772,15211.124021145673,-339.1368063911589,155,-0.06540486607900611,-0.08977242596428885
"T-A|ma=SMA,fast=5,slow=100|X1|L|1h",T-A,"ma=SMA,fast=5,slow=100",X1,L,1h,0.38209233155004757,0.019999626697156637,2864,0.419066242438068,0.6182036288987329,10991.173210291867,-3426.747532423966,27,0.8622761495322188,-0.6025626936690893
"T-A|ma=SMA,fast=5,slow=100|X1|S|1h",T-A,"ma=SMA,fast=5,slow=100",X1,S,1h,0.057635001459819014,0.003016753854259116,2876,-0.24842693877382171,0.7025881580954747,9882.985638875021,881.1889444205,28,0.27880628375013755,-0.4085779712869397
"T-A|ma=SMA,fast=5,slow=100|X1|LS|1h",T-A,"ma=SMA,fast=5,slow=100",X1,LS,1h,0.06339287488033682,0.0033181347234136527,2876,-0.23836858462146215,0.7025881580954765,9999.987468351113,877.6240938817269,28,0.2882328386791966,-0.40857797128694173
"T-A|ma=SMA,fast=5,slow=100|X2|L|1h",T-A,"ma=SMA,fast=5,slow=100",X2,L,1h,0.037534123719033655,0.0019646258268002977,2580,-0.8950996123439781,0.9410969601241916,8574.41590541561,-1747.6659700434327,242,0.17344789416952053,-0.22072391760844548
