day,equity,n_pos,events
2026-08-24,1.00010959,0,universe[BTC:+4.6% ETH:+4.8%]
2026-08-25,1.00021918,0,universe[]
2026-08-28,1.00032877,0,universe[BTC:+4.7% ETH:+4.8%]
2026-08-29,1.00043836,0,universe[]
2026-08-30,1.00054795,0,universe[]
2026-08-31,1.00065753,0,universe[]
2026-09-01,1.00076712,0,universe[]
2026-09-02,1.00087671,0,universe[]
2026-09-03,1.0009863,0,universe[]
2026-09-04,1.00109589,0,universe[]
2026-09-05,1.00120548,0,universe[]
2026-09-06,1.00131507,0,universe[]
2026-09-07,1.00142466,0,universe[]
2026-09-08,1.00153425,0,universe[]
2026-09-09,1.00164384,0,universe[]
2026-09-10,1.00175342,0,universe[]
2026-09-11,1.00186301,0,universe[]
2026-09-12,1.0019726,0,universe[]
2026-09-13,1.00208219,0,universe[]
2026-09-14,1.00219178,0,universe[]
2026-09-15,1.00230137,0,universe[]
2026-09-16,1.00241096,0,universe[]
2026-09-17,1.00252055,0,universe[]
2026-09-18,1.00263014,0,universe[]
2026-09-19,1.00273973,0,universe[]
2026-09-20,1.00284932,0,universe[]
2026-09-21,1.0029589,0,universe[]
2026-09-22,1.00306849,0,universe[]
2026-09-23,1.00317808,0,universe[]
