day,ts,equity,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,n_pos,bars,fills
2026-08-27,1787806800000,100000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,420,0
2026-08-27,1787814000000,100000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,2,0
2026-08-27,1787817600000,100143.77580759,10055.95696569,9988.14816203,10075.01879307,10000.0,10024.6518868,10000.0,10000.0,10000.0,10000.0,10000.0,7,1,7
2026-08-27,1787821200000,100118.05167692,10078.47519488,9989.78241141,10074.21665453,10000.0,10023.84976591,10000.0,9956.87572033,9994.85192986,10000.0,10000.0,10,1,3
2026-08-27,1787868000000,100280.00759893,10065.16318603,10044.47605203,10161.69006001,10024.36874451,10111.32287253,10024.36874451,10009.87830422,9879.67417601,9959.06545908,10000.0,14,13,20
2026-08-28,1787871600000,100256.81445664,10054.83284248,10037.15115984,10153.97486045,10016.85408637,10103.60767553,10016.85408637,10015.13579438,9890.54076321,9967.86318802,10000.0,14,1,14
2026-08-28,1787875200000,100241.49912758,10084.63268504,10013.71433854,10160.94494016,10002.72982704,10110.57775713,10002.72982704,9983.33193708,9925.15019075,9957.68762479,10000.0,14,1,0
2026-08-28,1787882400000,100036.74963576,9992.68285554,9970.4047183,10056.7270269,9982.2096767,10006.36000714,9982.2096767,10046.50583125,9991.30044398,10008.34939924,10000.0,12,0,0
2026-08-28,1787914800000,99891.33522844,9930.18079726,9954.95722019,10017.70791774,9972.71612242,10009.21939755,9972.71612242,10067.28257493,9985.92018749,9980.63488844,10000.0,8,9,15
2026-08-28,1787918400000,99850.05348444,9939.57129102,9947.7877212,9993.60022443,9973.5156088,9975.26287841,9973.5156088,10067.28257493,9985.92018749,9993.59738936,10000.0,8,1,0
2026-08-29,1787968800000,99588.49172902,9940.30002378,10065.07575403,9980.32949771,9899.56434584,9838.80410526,9892.1765044,9928.16409054,9919.41571532,10124.66169213,10000.0,15,14,41
2026-08-29,1787990400000,99607.68691961,9949.35093166,10051.38355117,9989.22924719,9887.27394471,9828.2552295,9892.1765044,9914.69907104,9960.12441905,10135.1940209,10000.0,14,6,15
